Monture_ID,Marque,Modele,Type,Forme,Materiau,Couleur,Taille,Prix (€),Style,Stock
MON1,Chanel,Ii710,Invisible,Aviateur,Metal,Bleu,53-15-131,282.35,Luxe,14
MON2,Ray-Ban,UP745,Semi-cerclee,Ronde,Plastique,Rouge,53-17-150,65.71,Business,43
MON3,Oakley,Pl940,Invisible,Rectangulaire,Plastique,Argent,59-20-143,342.18,Business,44
MON4,Persol,eo330,Invisible,Papillon,Metal,Transparent,55-18-135,417.89,Sport,3
MON5,Gucci,tk217,Semi-cerclee,Rectangulaire,Plastique,Dore,58-16-139,74.21,Sport,41
MON6,Chanel,OV096,Cerclee,Papillon,Metal,Noir,57-19-132,441.09,Sport,43
MON7,Ray-Ban,Ci185,Cerclee,Papillon,Plastique,Argent,54-19-134,269.13,Sport,40
MON8,Gucci,ye277,Invisible,Ronde,Metal,Bleu,57-14-150,422.33,Sport,3
MON9,Oakley,yj213,Cerclee,Aviateur,Titane,Bleu,59-15-147,51.54,Business,0
MON10,Chanel,Oq028,Semi-cerclee,Papillon,Titane,Dore,60-16-148,483.37,Sport,38
MON11,Persol,Dj362,Cerclee,Papillon,Titane,Dore,54-14-143,95.4,Luxe,12
MON12,Oakley,rs073,Cerclee,Papillon,Titane,Rouge,57-17-146,230.52,Luxe,2
MON13,Ray-Ban,Bj881,Cerclee,Ronde,Plastique,Noir,59-20-133,119.01,Business,17
MON14,Oakley,vt449,Cerclee,Ronde,Titane,Argent,52-19-148,207.6,Casual,40
MON15,Persol,on789,Semi-cerclee,Rectangulaire,Metal,Bleu,56-19-135,352.41,Casual,47
MON16,Chanel,wE184,Cerclee,Rectangulaire,Plastique,Dore,57-16-142,198.57,Business,36
MON17,Ray-Ban,IO847,Cerclee,Rectangulaire,Plastique,Argent,57-16-143,360.01,Business,9
MON18,Chanel,Wj171,Invisible,Rectangulaire,Plastique,Transparent,57-19-138,354.24,Luxe,5
MON19,Persol,pV259,Invisible,Aviateur,Metal,Noir,52-19-145,262.16,Business,15
MON20,Oakley,Fz774,Cerclee,Aviateur,Titane,Transparent,50-15-137,401.08,Casual,29
MON21,Persol,oO448,Semi-cerclee,Papillon,Plastique,Rouge,58-19-141,159.28,Casual,28
MON22,Gucci,Op148,Invisible,Ronde,Titane,Dore,53-20-130,148.24,Casual,7
MON23,Chanel,Bl914,Invisible,Ronde,Metal,Noir,54-18-145,390.56,Sport,2
MON24,Chanel,eK678,Invisible,Papillon,Titane,Transparent,50-14-132,177.34,Casual,12
MON25,Ray-Ban,DF839,Invisible,Papillon,Titane,Rouge,53-14-147,290.22,Sport,4
MON26,Oakley,bO257,Cerclee,Aviateur,Metal,Rouge,59-14-141,117.11,Luxe,33
